web-scraper-order,web-scraper-start-url,Rank,City / Town,Russian,Federal subject,Federal district,2021 estimate,2010 Census
1653023906-32643,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,79,Syktyvkar,Сыктывкар,Komi Republic,Northwest,"243,926","235,006"
1653023906-32644,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,80,Komsomolsk-on-Amur,Комсомольск-на-Амуре,Khabarovsk Krai,Far East,"241,072","263,906"
1653023906-32645,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,81,Nizhnekamsk,Нижнекамск,Republic of Tatarstan,Volga,"240,097","234,044"
1653023906-32646,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,82,Nalchik,Нальчик,Kabardino-Balkar Republic,North Caucasus,"239,054","240,203"
1653023906-32647,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,83,Shakhty,Шахты,Rostov Oblast,South,"228,816","239,987"
1653023906-32648,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,84,Dzerzhinsk,Дзержинск,Nizhny Novgorod Oblast,Volga,"227,326","240,742"
1653023906-32649,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,85,Engels,Энгельс,Saratov Oblast,Volga,"226,143","202,419"
1653023906-32650,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,86,Blagoveshchensk,Благовещенск,Amur Oblast,Far East,"225,757","214,390"
1653023906-32651,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,87,Korolyov,Королёв,Moscow Oblast,Central,"225,299","183,402"
1653023906-32652,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,88,Bratsk,Братск,Irkutsk Oblast,Siberia,"225,037","246,319"
1653023906-32653,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,89,Veliky Novgorod,Великий Новгород,Novgorod Oblast,Northwest,"225,019","218,717"
1653023906-32654,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,90,Orsk,Орск,Orenburg Oblast,Volga,"224,814","239,800"
1653023906-32655,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,91,Stary Oskol,Старый Оскол,Belgorod Oblast,Central,"223,711","221,085"
1653023906-32656,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,92,Angarsk,Ангарск,Irkutsk Oblast,Siberia,"222,855","233,567"
1653023906-32657,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,93,Pskov,Псков,Pskov Oblast,Northwest,"209,426","203,279"
1653023906-32658,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,94,Lyubertsy,Люберцы,Moscow Oblast,Central,"208,397","172,525"
1653023906-32659,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,95,Yuzhno-Sakhalinsk,Южно-Сахалинск,Sakhalin Oblast,Far East,"200,235","181,728"
1653023906-32660,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,96,Biysk,Бийск,Altai Krai,Siberia,"198,433","210,115"
1653023906-32661,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,97,Prokopyevsk,Прокопьевск,Kemerovo Oblast,Siberia,"187,877","210,130"
1653023906-32662,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,98,Abakan,Абакан,Republic of Khakassia,Siberia,"187,239","165,214"
1653023906-32663,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,99,Armavir,Армавир,Krasnodar Krai,South,"187,215","188,832"
1653023906-32664,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,100,Balakovo,Балаково,Saratov Oblast,Volga,"186,012","199,690"
1653023906-32665,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,101,Norilsk,Норильск,Krasnoyarsk Krai,Siberia,"182,701","175,365"
1653023906-32666,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,102,Rybinsk,Рыбинск,Yaroslavl Oblast,Central,"182,383","200,771"
1653023906-32667,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,103,Severodvinsk,Северодвинск,Arkhangelsk Oblast,Northwest,"180,806","192,353"
1653023906-32668,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,104,Petropavlovsk-Kamchatsky,Петропавловск-Камчатский,Kamchatka Krai,Far East,"179,367","179,780"
1653023906-32669,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,105,Krasnogorsk,Красногорск,Moscow Oblast,Central,"175,812","116,896"
1653023906-32670,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,106,Ussuriysk,Уссурийск,Primorsky Krai,Far East,"172,942","158,004"
1653023906-32671,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,107,Volgodonsk,Волгодонск,Rostov Oblast,South,"169,953","170,841"
1653023906-32672,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,108,Novocherkassk,Новочеркасск,Rostov Oblast,South,"166,312","168,746"
1653023906-32673,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,109,Syzran,Сызрань,Samara Oblast,Volga,"165,199","178,750"
1653023906-32674,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,110,Kamensk-Uralsky,Каменск-Уральский,Sverdlovsk Oblast,Ural,"163,990","174,689"
1653023906-32675,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,111,Zlatoust,Златоуст,Chelyabinsk Oblast,Ural,"162,148","174,962"
1653023906-32676,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,112,Almetyevsk,Альметьевск,Republic of Tatarstan,Volga,"158,019","146,393"
1653023906-32677,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,113,Elektrostal,Электросталь,Moscow Oblast,Central,"152,607","155,196"
1653023906-32679,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,114,Miass,Миасс,Chelyabinsk Oblast,Ural,"150,914","151,751"
1653023906-32680,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,115,Salavat,Салават,Republic of Bashkortostan,Volga,"148,947","156,095"
1653023906-32681,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,116,Khasavyurt,Хасавюрт,Republic of Dagestan,North Caucasus,"146,394","131,187"
1653023906-32682,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,117,Pyatigorsk,Пятигорск,Stavropol Krai,North Caucasus,"146,267","142,511"
1653023906-32683,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,118,Kopeysk,Копейск,Chelyabinsk Oblast,Ural,"145,961","137,601"
1653023906-32684,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,119,Nakhodka,Находка,Primorsky Krai,Far East,"142,673","159,719"
1653023906-32685,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,120,Rubtsovsk,Рубцовск,Altai Krai,Siberia,"139,565","147,002"
1653023906-32686,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,121,Maykop,Майкоп,Republic of Adygea,South,"139,084","144,249"
1653023906-32687,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,122,Kolomna,Коломна,Moscow Oblast,Central,"138,693","144,589"
1653023906-32688,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,123,Berezniki,Березники,Perm Krai,Volga,"137,091","156,466"
1653023906-32689,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,124,Odintsovo,Одинцово,Moscow Oblast,Central,"135,867","138,930"
1653023906-32690,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,125,Domodedovo,Домодедово,Moscow Oblast,Central,"135,070","96,145"
1653023906-32691,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,126,Kovrov,Ковров,Vladimir Oblast,Central,"134,074","145,214"
1653023906-32692,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,127,Neftekamsk,Нефтекамск,Republic of Bashkortostan,Volga,"131,945","121,733"
1653023906-32693,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,128,Kaspiysk,Каспийск,Republic of Dagestan,North Caucasus,"128,663","100,129"
1653023906-32694,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,129,Nefteyugansk,Нефтеюганск,Khanty-Mansi Autonomous Okrug-Yugra,Ural,"128,159","122,855"
1653023906-32695,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,130,Kislovodsk,Кисловодск,Stavropol Krai,North Caucasus,"127,919","128,553"
1653023906-32696,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,131,Novocheboksarsk,Новочебоксарск,Chuvash Republic,Volga,"127,586","124,097"
1653023906-32697,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,132,Bataysk,Батайск,Rostov Oblast,South,"127,444","111,843"
1653023906-32698,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,133,Shchyolkovo,Щёлково,Moscow Oblast,Central,"127,292","110,411"
1653023906-32699,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,134,Derbent,Дербент,Republic of Dagestan,North Caucasus,"126,606","119,200"
1653023906-32700,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,135,Serpukhov,Серпухов,Moscow Oblast,Central,"125,473","127,041"
1653023906-32701,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,136,Nazran,Назрань,Republic of Ingushetia,North Caucasus,"124,169","93,335"
1653023906-32702,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,137,Ramenskoye,Раменское,Moscow Oblast,Central,"123,590","96,317"
1653023906-32703,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,138,Cherkessk,Черкесск,Karachay-Cherkess Republic,North Caucasus,"123,148","129,069"
1653023906-32704,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,139,Novomoskovsk,Новомосковск,Tula Oblast,Central,"121,674","131,386"
1653023906-32705,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,140,Kyzyl,Кызыл,Tuva Republic,Siberia,"120,067","109,918"
1653023906-32706,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,141,Pervouralsk,Первоуральск,Sverdlovsk Oblast,Ural,"119,365","124,528"
1653023906-32707,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,142,Novy Urengoy,Новый Уренгой,Yamalo-Nenets Autonomous Okrug,Ural,"118,115","104,107"
1653023906-32708,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,143,Orekhovo-Zuyevo,Орехово-Зуево,Moscow Oblast,Central,"117,966","120,670"
1653023906-32709,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,144,Dolgoprudny,Долгопрудный,Moscow Oblast,Central,"117,778","90,956"
1653023906-32710,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,145,Obninsk,Обнинск,Kaluga Oblast,Central,"116,179","104,739"
1653023906-32711,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,146,Nevinnomyssk,Невинномысск,Stavropol Krai,North Caucasus,"115,627","118,360"
1653023906-32712,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,147,Yessentuki,Ессентуки,Stavropol Krai,North Caucasus,"114,824","100,996"
1653023906-32713,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,148,Oktyabrsky,Октябрьский,Republic of Bashkortostan,Volga,"113,737","109,474"
1653023906-32714,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,149,Dimitrovgrad,Димитровград,Ulyanovsk Oblast,Volga,"112,388","122,580"
1653023906-32715,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,150,Pushkino,Пушкино,Moscow Oblast,Central,"108,741","102,874"
1653023906-32716,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,151,Kamyshin,Камышин,Volgograd Oblast,South,"108,665","119,565"
1653023906-32717,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,152,Noyabrsk,Ноябрьск,Yamalo-Nenets Autonomous Okrug,Ural,"108,376","110,620"
1653023906-32719,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,153,Reutov,Реутов,Moscow Oblast,Central,"108,000","87,314"
1653023906-32720,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,154,Zhukovsky,Жуковский,Moscow Oblast,Central,"107,558","104,736"
1653023906-32721,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,155,Seversk,Северск,Tomsk Oblast,Siberia,"105,858","108,590"
1653023906-32722,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,156,Murom,Муром,Vladimir Oblast,Central,"105,572","116,075"
1653023906-32723,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,157,Novoshakhtinsk,Новошахтинск,Rostov Oblast,South,"105,038","111,075"
1653023906-32724,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,158,Artyom,Артём,Primorsky Krai,Far East,"104,926","102,603"
1653023906-32725,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,159,Achinsk,Ачинск,Krasnoyarsk Krai,Siberia,"104,850","109,155"
1653023906-32726,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,160,Berdsk,Бердск,Novosibirsk Oblast,Siberia,"103,561","97,296"
