web-scraper-order,web-scraper-start-url,City,Russian name,Federal subject
"1653020618-378","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kostroma","Кострома","Kostroma Oblast"
"1653020618-991","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Verkhoturye","Верхотурье","Sverdlovsk Oblast"
"1653020618-287","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kamyshlov","Камышлов","Sverdlovsk Oblast"
"1653020618-514","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Michurinsk","Мичуринск","Tambov Oblast"
"1653020618-586","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nizhnyaya Salda","Нижняя Салда","Sverdlovsk Oblast"
"1653020618-389","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kozlovka","Козловка","Chuvash Republic"
"1653020618-218","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gelendzhik","Геленджик","Krasnodar Krai"
"1653020618-118","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bolshoy Kamen","Большой Камень","Primorsky Krai"
"1653020618-421","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kungur","Кунгур","Perm Krai"
"1653020618-134","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Buynaksk","Буйнакск","Dagestan"
"1653020618-103","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Blagoveshchensk","Благовещенск","Amur Oblast"
"1653020618-135","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Buzuluk","Бузулук","Orenburg Oblast"
"1653020618-1092","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zheleznodorozhny","Железнодорожный","Moscow Oblast"
"1653020618-393","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnoarmeysk","Красноармейск","Saratov Oblast"
"1653020618-557","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nazran","Назрань","Ingushetia"
"1653020618-25","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Anadyr","Анадырь","Chukotka Autonomous Okrug"
"1653020618-689","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pitkyaranta","Питкяранта","Karelia"
"1653020618-500","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mednogorsk","Медногорск","Orenburg Oblast"
"1653020618-162","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Chyormoz","Чёрмоз","Perm Krai"
"1653020618-886","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Svetly","Светлый","Kaliningrad Oblast"
"1653020618-575","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nikolayevsk-on-Amur","Николаевск-на-Амуре","Khabarovsk Krai"
"1653020618-850","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sovetsk","Советск","Tula Oblast"
"1653020618-334","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kirov","Киров","Kaluga Oblast"
"1653020618-1035","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yalutorovsk","Ялуторовск","Tyumen Oblast"
"1653020618-82","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Beloretsk","Белорецк","Republic of Bashkortostan"
"1653020618-649","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Orsk","Орск","Orenburg Oblast"
"1653020618-693","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pochep","Почеп","Bryansk Oblast"
"1653020618-590","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Norilsk","Норильск","Krasnoyarsk Krai"
"1653020618-952","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ulan-Ude","Улан-Удэ","Republic of Buryatia"
"1653020618-344","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kislovodsk","Кисловодск","Stavropol Krai"
"1653020618-1102","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zhukovka","Жуковка","Bryansk Oblast"
"1653020618-1111","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zvenigorod","Звенигород","Moscow Oblast"
"1653020618-1044","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yegoryevsk","Егорьевск","Moscow Oblast"
"1653020618-480","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Magadan","Магадан","Magadan Oblast"
"1653020618-222","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gorbatov","Горбатов","Nizhny Novgorod Oblast"
"1653020618-105","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bobrov","Бобров","Voronezh Oblast"
"1653020618-253","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Inza","Инза","Ulyanovsk Oblast"
"1653020618-1080","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zavitinsk","Завитинск","Amur Oblast"
"1653020618-629","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Obninsk","Обнинск","Kaluga Oblast"
"1653020618-555","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Navoloki","Наволоки","Ivanovo Oblast"
"1653020618-382","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kotlas","Котлас","Arkhangelsk Oblast"
"1653020618-257","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ishim","Ишим","Tyumen Oblast"
"1653020618-1001","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vladimir","Владимир","Vladimir Oblast"
"1653020618-656","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Otradnoye","Отрадное","Leningrad Oblast"
"1653020618-174","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Desnogorsk","Десногорск","Smolensk Oblast"
"1653020618-826","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Slyudyanka","Слюдянка","Irkutsk Oblast"
"1653020618-1052","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yeniseysk","Енисейск","Krasnoyarsk Krai"
"1653020618-607","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novorzhev","Новоржев","Pskov Oblast"
"1653020618-15","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Aldan","Алдан","Sakha Republic"
"1653020618-268","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Izobilny","Изобильный","Stavropol Krai"
"1653020618-624","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nyazepetrovsk","Нязепетровск","Chelyabinsk Oblast"
"1653020618-628","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Obluchye","Облучье","Jewish Autonomous Oblast"
"1653020618-717","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Proletarsk","Пролетарск","Rostov Oblast"
"1653020618-58","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Baksan","Баксан","Kabardino-Balkar Republic"
"1653020618-64","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Baley","Балей","Zabaykalsky Krai"
"1653020618-949","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Uglegorsk","Углегорск","Sakhalin Oblast"
"1653020618-4","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Abinsk","Абинск","Krasnodar Krai"
"1653020618-1103","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zhukovsky","Жуковский","Moscow Oblast"
"1653020618-48","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Asha","Аша","Chelyabinsk Oblast"
"1653020618-406","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnozavodsk","Краснозаводск","Moscow Oblast"
"1653020618-847","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sosnovy Bor","Сосновый Бор","Leningrad Oblast"
"1653020618-731","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Raduzhny","Радужный","Khanty-Mansi Autonomous Okrug"
"1653020618-787","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Severo-Kurilsk","Северо-Курильск","Sakhalin Oblast"
"1653020618-147","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Cheremkhovo","Черемхово","Irkutsk Oblast"
"1653020618-724","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pushkin","Пушкин","Saint Petersburg"
"1653020618-315","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Khanty-Mansiysk","Ханты-Мансийск","Khanty-Mansi Autonomous Okrug"
"1653020618-492","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mamadysh","Мамадыш","Republic of Tatarstan"
"1653020618-533","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mozdok","Моздок","Republic of North Ossetia–Alania"
"1653020618-673","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Perevoz","Перевоз","Nizhny Novgorod Oblast"
"1653020618-233","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Grozny","Грозный","Chechen Republic"
"1653020618-813","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Shlisselburg","Шлиссельбург","Leningrad Oblast"
"1653020618-943","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Tyukalinsk","Тюкалинск","Omsk Oblast"
"1653020618-227","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gorodishche","Городище","Penza Oblast"
"1653020618-212","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Galich","Галич","Kostroma Oblast"
"1653020618-190","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dubna","Дубна","Moscow Oblast"
"1653020618-1077","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zarechny","Заречный","Penza Oblast"
"1653020618-645","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Orekhovo-Zuyevo","Орехово-Зуево","Moscow Oblast"
"1653020618-117","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bolotnoye","Болотное","Novosibirsk Oblast"
"1653020618-871","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Stupino","Ступино","Moscow Oblast"
"1653020618-56","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bagrationovsk","Багратионовск","Kaliningrad Oblast"
"1653020618-987","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Verkhny Ufaley","Верхний Уфалей","Chelyabinsk Oblast"
"1653020618-838","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Soltsy","Сольцы","Novgorod Oblast"
"1653020618-1054","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yershov","Ершов","Saratov Oblast"
"1653020618-374","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Korsakov","Корсаков","Sakhalin Oblast"
"1653020618-866","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Stavropol","Ставрополь","Stavropol Krai"
"1653020618-1098","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zhigulyovsk","Жигулёвск","Samara Oblast"
"1653020618-55","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Babushkin","Бабушкин","Republic of Buryatia"
"1653020618-398","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnoslobodsk","Краснослободск","Volgograd Oblast"
"1653020618-199","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Elektrostal","Электросталь","Moscow Oblast"
"1653020618-879","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Surovikino","Суровикино","Volgograd Oblast"
"1653020618-626","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nyurba","Нюрба","Sakha Republic"
"1653020618-326","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kimry","Кимры","Tver Oblast"
"1653020618-830","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sobinka","Собинка","Vladimir Oblast"
"1653020618-329","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kingisepp","Кингисепп","Leningrad Oblast"
"1653020618-237","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gubkin","Губкин","Belgorod Oblast"
"1653020618-373","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Korolyov","Королёв","Moscow Oblast"
"1653020618-758","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Salavat","Салават","Republic of Bashkortostan"
"1653020618-1051","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yemva","Емва","Komi Republic"
"1653020618-895","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Taganrog","Таганрог","Rostov Oblast"
"1653020618-769","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sayansk","Саянск","Irkutsk Oblast"
"1653020618-904","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Tavda","Тавда","Sverdlovsk Oblast"
"1653020618-1086","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zelenogorsk","Зеленогорск","Saint Petersburg"
"1653020618-1088","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zelenogradsk","Зеленоградск","Kaliningrad Oblast"
"1653020618-194","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dyatkovo","Дятьково","Bryansk Oblast"
"1653020618-1082","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zavolzhsk","Заволжск","Ivanovo Oblast"
"1653020618-316","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kharabali","Харабали","Astrakhan Oblast"
"1653020618-1070","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zainsk","Заинск","Republic of Tatarstan"
"1653020618-951","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ukhta","Ухта","Komi Republic"
"1653020618-163","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dagestanskiye Ogni","Дагестанские Огни","Dagestan"
"1653020618-737","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Rezh","Реж","Sverdlovsk Oblast"
"1653020618-820","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Skovorodino","Сковородино","Amur Oblast"
"1653020618-768","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sayanogorsk","Саяногорск","Republic of Khakassia"
"1653020618-89","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Berdsk","Бердск","Novosibirsk Oblast"
"1653020618-187","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Donskoy","Донской","Tula Oblast"
"1653020618-753","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Rylsk","Рыльск","Kursk Oblast"
"1653020618-1107","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zmeinogorsk","Змеиногорск","Altai Krai"
"1653020618-761","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Samara","Самара","Samara Oblast"
"1653020618-245","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gusev","Гусев","Kaliningrad Oblast"
"1653020618-281","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kamen-na-Obi","Камень-на-Оби","Altai Krai"
"1653020618-853","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Spas-Demensk","Спас-Деменск","Kaluga Oblast"
"1653020618-210","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gadzhiyevo","Гаджиево","Murmansk Oblast"
"1653020618-494","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Manturovo","Мантурово","Kostroma Oblast"
"1653020618-684","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Petukhovo","Петухово","Kurgan Oblast"
"1653020618-523","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Minyar","Миньяр","Chelyabinsk Oblast"
"1653020618-573","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Neya","Нея","Kostroma Oblast"
"1653020618-532","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Moscow","Москва","Moscow"
"1653020618-123","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Borovsk","Боровск","Kaluga Oblast"
"1653020618-132","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Buturlinovka","Бутурлиновка","Voronezh Oblast"
"1653020618-331","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kireyevsk","Киреевск","Tula Oblast"
"1653020618-408","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnoznamensk","Краснознаменск","Moscow Oblast"
"1653020618-569","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nevel","Невель","Pskov Oblast"
"1653020618-961","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Usman","Усмань","Lipetsk Oblast"
"1653020618-414","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kropotkin","Кропоткин","Krasnodar Krai"
"1653020618-873","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sudzha","Суджа","Kursk Oblast"
"1653020618-849","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sovetsk","Советск","Kirov Oblast"
"1653020618-521","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mineralnye Vody","Минеральные Воды","Stavropol Krai"
"1653020618-354","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kokhma","Кохма","Ivanovo Oblast"
"1653020618-491","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Maloyaroslavets","Малоярославец","Kaluga Oblast"
"1653020618-241","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gulkevichi","Гулькевичи","Krasnodar Krai"
"1653020618-549","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Narimanov","Нариманов","Astrakhan Oblast"
"1653020618-364","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Konakovo","Конаково","Tver Oblast"
"1653020618-74","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Belaya Kholunitsa","Белая Холуница","Kirov Oblast"
"1653020618-197","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dzerzhinsky","Дзержинский","Moscow Oblast"
"1653020618-964","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ussuriysk","Уссурийск","Primorsky Krai"
"1653020618-661","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ozyory","Озёры","Moscow Oblast"
"1653020618-473","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lyskovo","Лысково","Nizhny Novgorod Oblast"
"1653020618-950","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Uglich","Углич","Yaroslavl Oblast"
"1653020618-1033","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yakhroma","Яхрома","Moscow Oblast"
"1653020618-618","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novy Oskol","Новый Оскол","Belgorod Oblast"
"1653020618-802","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Shcherbinka","Щербинка","Moscow Oblast"
"1653020618-668","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pechora","Печора","Komi Republic"
"1653020618-545","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Naberezhnye Chelny","Набережные Челны","Republic of Tatarstan"
"1653020618-372","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Korocha","Короча","Belgorod Oblast"
"1653020618-997","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vikhorevka","Вихоревка","Irkutsk Oblast"
"1653020618-824","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Slavyansk-na-Kubani","Славянск-на-Кубани","Krasnodar Krai"
"1653020618-632","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Odintsovo","Одинцово","Moscow Oblast"
"1653020618-361","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kommunar","Коммунар","Leningrad Oblast"
"1653020618-848","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sovetsk","Советск","Kaliningrad Oblast"
"1653020618-587","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nizhnyaya Tura","Нижняя Тура","Sverdlovsk Oblast"
