web-scraper-order,web-scraper-start-url,Prefix,Location
"1651088586-62","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","62","Delaware"
"1651088586-27","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","27","Omaha, NE"
"1651088586-77","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","77","North Dakota"
"1651088586-90","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","90","California"
"1651088586-48","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","48","Waco, TX"
"1651088586-68","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","68","Virginia"
"1651088586-79","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","79","Wisconsin"
"1651088586-70","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","70","Illinois"
"1651088586-86","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","86","Oklahoma"
"1651088586-95","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","95","New Mexico"
"1651088586-32","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","32","Dallas, TX"
"1651088586-50","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","50","New York"
"1651088586-40","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","40","Wichita, KS"
"1651088586-94","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","94","Nevada"
"1651088586-25","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","25","Columbus, OH"
"1651088586-88","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","88","Texas"
"1651088586-15","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","15","Washington D.C."
"1651088586-4","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","4","St. Louis, MO"
"1651088586-19","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","19","Seattle, WA"
"1651088586-45","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","45","Dubuque, IA"
"1651088586-100","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","101","American Samoa, Guam, Puerto Rico, Virgin Islands"
"1651088586-39","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","39","Oklahoma City, OK"
"1651088586-78","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","78","South Dakota"
"1651088586-28","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","28","Spokane, WA"
"1651088586-34","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","34","Tacoma, WA"
"1651088586-82","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","82","Colorado"
"1651088586-41","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","41","Sioux City, IA"
"1651088586-47","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","47","Cedar Rapids, IA"
"1651088586-24","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","24","Portland, OR"
"1651088586-2","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","2","Chicago, IL"
"1651088586-72","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","72","Iowa"
"1651088586-20","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","20","Indianapolis, IN"
"1651088586-21","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","21","Louisville, KY"
"1651088586-6","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","6","Cleveland, OH"
"1651088586-56","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","56","Ohio"
"1651088586-81","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","81","Arkansas"
"1651088586-29","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","29","Albany, NY"
"1651088586-76","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","76","Nebraska"
"1651088586-38","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","38","Savannah, GA"
"1651088586-83","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","83","Kansas"
"1651088586-12","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","12","Milwaukee, WI"
"1651088586-37","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","37","Fort Worth, TX"
"1651088586-35","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","35","Houston, TX"
"1651088586-87","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","87","Tennessee"
"1651088586-16","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","16","Los Angeles, CA"
"1651088586-67","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","67","South Carolina"
"1651088586-92","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","92","Idaho"
"1651088586-80","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","80","Missouri"
"1651088586-1","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","1","New York, NY"
"1651088586-14","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","14","New Orleans, LA"
"1651088586-23","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","23","Denver, CO"
"1651088586-69","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","69","West Virginia"
"1651088586-99","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","99","Wyoming"
"1651088586-89","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","89","Alaska"
"1651088586-3","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","3","Philadelphia, PA"
"1651088586-75","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","75","Minnesota"
"1651088586-33","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","33","Des Moines, IA"
"1651088586-98","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","98","Washington"
"1651088586-5","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","5","Boston, MA"
"1651088586-10","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","10","Buffalo, NY"
"1651088586-43","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","43","Lincoln, NE"
"1651088586-17","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","17","Minneapolis, MN"
"1651088586-54","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","54","New Hampshire"
"1651088586-58","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","58","Vermont"
"1651088586-93","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","93","Montana"
"1651088586-55","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","55","New Jersey"
"1651088586-36","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","36","St. Joseph, MO"
"1651088586-11","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","11","San Francisco, CA"
"1651088586-96","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","96","Oregon"
"1651088586-66","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","66","North Carolina"
"1651088586-44","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","44","Topeka, KS"
"1651088586-52","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","52","Maine"
"1651088586-9","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","9","Detroit, MI"
"1651088586-63","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","63","Florida"
"1651088586-60","https://en.m.wikipedia.org/wiki/ABA_routing_transit_number","60","Pennsylvania"
